created_at,lang,text,edit_history_tweet_ids,conversation_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-03-17T16:39:08.000Z,en,Lineage bar available now at: https://t.co/Irifrxht6r,['2033946246587547814'],2033945940277526914,2033946246587547814,1,5,30,0,1,5849,1081022379910881280,paulsaladinomd
2026-03-17T16:37:55.000Z,en,"The sweetness in our bar comes from two real-food ingredients: raw organic honey (glyphosate free honey from @eatlineage) and organic coconut nectar. The total amount of sugar in the whole bar is less than one tablespoon of honey.

The label says “added sugar"" b/c the FDA https://t.co/wf9YeMRDRE",['2033945940277526914'],2033945940277526914,2033945940277526914,17,74,543,9,47,115170,,paulsaladinomd
2026-03-17T15:13:42.000Z,en,"It's not a fair comparison, I know. To even things up I'll throw in a free pair on adult incontinence briefs to everyone who chooses the David bar for the ""oily spotting.""",['2033924744576475537'],2033921439938822566,2033924744576475537,2,11,75,0,3,20472,1081022379910881280,paulsaladinomd
2026-03-17T15:00:35.000Z,en,Lineage bar available now (but they might sell out soon!): https://t.co/0M7cBlUljF,['2033921442593518064'],2033921439938822566,2033921442593518064,2,7,27,0,0,15639,1081022379910881280,paulsaladinomd
2026-03-17T15:00:34.000Z,en,Which would you choose? https://t.co/577wrivaky,['2033921439938822566'],2033921439938822566,2033921439938822566,13,188,361,23,26,279124,,paulsaladinomd
2026-03-16T21:01:16.000Z,en,"@eatlineage pdcaas .86 for you protein nerds out there, actual protein %DV is 42%, not 24%- graphic design error which we will correct. We tested a number of other bars out there and our pdcaas (measure of protein quality) was much higher.",['2033649826525540385'],2033543311021969482,2033649826525540385,1,9,46,0,2,19601,1081022379910881280,paulsaladinomd
2026-03-16T20:58:26.000Z,en,"We did it. 

@dranthonygustin and I just built the protein bar the industry didn’t want you to have: one actually made for HUMANS. 

@eatlineage Protein Bar – 100% real food, no garbage.

Why most bars suck (and aren’t for humans):
- Fake fats like EPG (esterified propoxylated https://t.co/eHh7SmuXOH",['2033649113946878426'],2033649113946878426,2033649113946878426,40,92,744,16,124,198992,,paulsaladinomd
2026-03-16T15:56:00.000Z,en,"We just cooked the whole protein bar industry. 🔥

New protein bar from @eatlineage

&lt;200 calories
20g of protein (grass-fed whey + collagen)
All real food

No fake fats, no artificial sweeteners, won't cause ""gas with discharge.""

Get it now:  https://t.co/BSRrxA4S3V https://t.co/gvCiSNJdl2",['2033573001615323452'],2033573001615323452,2033573001615323452,14,67,456,4,37,60422,,paulsaladinomd
2026-03-16T13:58:24.000Z,en,Get it here:  https://t.co/0M7cBlUljF,['2033543406937419923'],2033543311021969482,2033543406937419923,3,30,51,0,20,33902,1081022379910881280,paulsaladinomd
2026-03-16T13:58:01.000Z,en,"We just cooked the protein bar industry. 🔥

Most are candy bars in disguise: seed oils, gums, fake sweeteners, sugar.

Not @eatlineage.

New Protein Bar:
&lt;200 cal
20g grass-fed whey + collagen
100% real food—no BS

Tastes incredible

🍫 Who's in? https://t.co/AM4jNqkNAJ","['2033539321496564038', '2033543311021969482']",2033543311021969482,2033543311021969482,80,352,1905,68,367,1033512,,paulsaladinomd
2026-03-16T12:50:42.000Z,en,"You are losing a massive amount of productive time to your phone.  Here's how to fix it. 

Using grayscale helped me a ton... https://t.co/m4dlqKsfUB",['2033526368793968757'],2033526368793968757,2033526368793968757,68,20,1053,4,1104,266588,,paulsaladinomd
2026-03-15T20:59:21.000Z,en,There are also many companies that do not use any plastic in their tea bags- choose these and use a mug or stainless steel container for your tea.,['2033286956671467643'],2033286954553377189,2033286956671467643,2,3,68,0,0,11016,1081022379910881280,paulsaladinomd
2026-03-15T20:59:21.000Z,en,"Plastic tea bags are the worst, but many other tea bags also use some plastic in the sachet. We must also not forget about the plastic lining of ""paper cups."" These are a widely overlooked source of micro/nanoplastics. https://t.co/iF6U6cPXHa",['2033286954553377189'],2033286954553377189,2033286954553377189,13,20,243,0,37,47473,,paulsaladinomd
2026-03-15T20:55:27.000Z,en,"Once per week is probably fine, risk increases geometrically from there.",['2033285972067074467'],2033282457697476816,2033285972067074467,1,3,22,0,0,15239,1081022379910881280,paulsaladinomd
2026-03-15T20:52:19.000Z,en,"Also, soon to be in many other foods like ice cream and nut butters.",['2033285185446215781'],2033285182950625445,2033285185446215781,0,3,32,0,1,10001,1081022379910881280,paulsaladinomd
2026-03-15T20:52:18.000Z,en,"I do not believe adding a compound derived from canola oil that causes ""gas with discharge,"" and decreased absorption of fat soluble vitamins while tasting like candle wax makes food ""better."" 

Epogee makes esterified propoxylated glycerol (EPG), it's in David bars. Nah. https://t.co/RjDzpsLGcy",['2033285182950625445'],2033285182950625445,2033285182950625445,18,14,226,1,6,16586,,paulsaladinomd
2026-03-15T20:45:44.000Z,cy,"Esterified propoxylated glycerol, EPG",['2033283530369704091'],2033282082277867915,2033283530369704091,0,0,45,0,4,15060,1081022379910881280,paulsaladinomd
2026-03-15T20:42:11.000Z,en,why not just eat real food?,['2033282636953661597'],2033282082277867915,2033282636953661597,1,3,74,0,1,12867,1081022379910881280,paulsaladinomd
2026-03-15T20:41:29.000Z,en,"Sadly, the pescatarian diet is now a road to heavy metal toxicity. Check your heavy metal levels...",['2033282457697476816'],2033282457697476816,2033282457697476816,5,41,290,0,14,41370,,paulsaladinomd
