created_at,conversation_id,text,lang,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-06T13:28:55.000Z,2041146134106722568,"One lunar flyby. Four astronauts. 10 days in space. Lots of questions!

Get mission details and answers to your most pressing questions like what the astronauts are eating, what they will see during the flyby, and how you can follow along.
Learn more: https://t.co/GpYt4kIqrh https://t.co/vvUqm3fyez",en,2041146134106722568,['2041146134106722568'],2701,582,24843,89,769,1050704,,NASA
2026-04-06T10:30:00.000Z,2041101106319667627,"We're going farther than ever before 🚀  
 
Today, the Artemis II crew will break the record for how far humans have traveled from Earth as they fly around the far side of the Moon. 
 
Coverage begins at 1 p.m. EDT (1700 UTC). Watch Artemis II make history: https://t.co/hCOVQPkxUF",en,2041101106319667627,['2041101106319667627'],13640,1733,64468,906,4024,3448637,,NASA
2026-04-06T07:08:11.000Z,2041050030526677397,"Watch with us. Live coverage begins today, April 6 at 1 p.m. EDT (1700 UTC) on https://t.co/JSDausMuVv",en,2041050317224099860,['2041050317224099860'],344,66,2560,44,309,589053,11348282,NASA
2026-04-06T07:07:02.000Z,2041050030526677397,"Sweet dreams, @NASAArtemis II crew. 

One last look at the Moon before flight day six and your epic lunar flyby, taking you farther into space than humans have EVER traveled. https://t.co/roqklB0iGQ",en,2041050030526677397,['2041050030526677397'],8159,984,75648,343,2492,2478565,,NASA
2026-04-06T05:50:29.000Z,2041030763387166863,"“On the Moon is a photo of my family. I pray it reminds you that we and America and all of the world are cheering you on.”

Apollo 16 astronaut Charlie Duke recorded a message for the Artemis II crew. Fitting that they hear his words as they close in on their lunar destination. https://t.co/FIWzOeC8nM",en,2041030763387166863,"['2041028031095914767', '2041030763387166863']",8432,1035,87407,210,4605,4175202,,NASA
2026-04-06T02:42:28.000Z,2040983450081956240,"No days off when you’re Moonbound.

@Astro_Christina continues prep for tomorrow’s lunar flyby after completing her workout.
Meanwhile, our entire world watches in anticipation with hope and excitement as the @NASAArtemis II crew presses on toward the Moon. https://t.co/iIiAiXHej0",en,2040983450081956240,['2040983450081956240'],2923,667,32878,185,1001,3396698,,NASA
2026-04-06T00:03:28.000Z,2040943433104163192,"The Moon is special in so many ways. Scientifically, it provides opportunities we simply don't have on Earth. It's near enough to reach with robotic explorers and humans. And for all of us on Earth, it's special because it's ours. 🩶 https://t.co/rOucYJGUgL",en,2040943433104163192,['2040943433104163192'],2215,978,20743,105,633,1921130,,NASA
2026-04-05T22:31:42.000Z,2040920341711815074,"LIVE: Agency leaders answer media questions and provide updates on our Artemis II mission ahead of the lunar flyby set for Monday, April 6. https://t.co/3qsuYqPamK",en,2040920341711815074,['2040920341711815074'],889,359,4741,60,204,777156,,NASA
2026-04-05T21:09:42.000Z,2040899704293052514,"One last look at Earth before we reach the Moon.

This view of the Earth was captured on April 5, the fourth day of the Artemis II mission, from inside the Orion spacecraft. The four astronauts will reach their closest approach of the Moon tomorrow, April 6. https://t.co/z2NJUGWkKc",en,2040899704293052514,['2040899704293052514'],19794,2329,159879,1746,6127,7923537,,NASA
2026-04-05T17:32:09.000Z,2040844929304240618,"Jeremy Hansen of the Canadian Space Agency (CSA) is a mission specialist, meaning he has trained for all roles to jump into action wherever needed, like Koch. Artemis II is his first spaceflight, and he is the first Canadian to fly to the Moon. https://t.co/9ABDQfD4P2 https://t.co/JZs9JooqzT",en,2040844956160418172,['2040844956160418172'],1070,170,9583,93,206,1151103,11348282,NASA
2026-04-05T17:32:07.000Z,2040844929304240618,"Christina Koch is a mission specialist, meaning she has trained for all roles to jump into action wherever needed. Koch is a well-seasoned astronaut, having served as flight engineer for Expeditions 59, 60, and 61. https://t.co/pLAF7U17nn https://t.co/ubzazwqpZZ",en,2040844949197828284,['2040844949197828284'],595,96,7041,59,144,694257,11348282,NASA
2026-04-05T17:32:06.000Z,2040844929304240618,"Victor Glover is the mission’s pilot, meaning he’s responsible for executing all space maneuvers. Glover previously served as pilot on NASA’s SpaceX Crew-1 mission and flight engineer aboard the space station for Expedition 64. https://t.co/yXccQPnmZf https://t.co/7mih6a5T94",en,2040844942545707463,['2040844942545707463'],432,69,5950,7,110,220756,11348282,NASA
2026-04-05T17:32:04.000Z,2040844929304240618,"Reid Wiseman is the mission’s commander, meaning he leads the crew aboard the flight. Wiseman flew previously as a flight engineer aboard the International Space Station for Expedition 41. https://t.co/ZxBeFPxwAy https://t.co/ZmT88Ze3Kq",en,2040844936136871960,['2040844936136871960'],400,64,5754,19,100,234512,11348282,NASA
2026-04-05T17:32:02.000Z,2040844929304240618,"These four astronauts are currently on a mission to fly around the Moon—and soon they'll break the record for how far humans have traveled from Earth!

Meet our Artemis II crew 👇 https://t.co/f3ETfqNKCr",en,2040844929304240618,['2040844929304240618'],15077,4756,140974,921,3485,6932924,,NASA
