id,lang,edit_history_tweet_ids,text,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
1978098644365578266,en,['1978098644365578266'],"How Much Protein Should You Really Eat Daily? | David Allison, Ph.D.

This clip is from episode # 368 of The Drive which was released today (10/13/25).

In the full episode, we cover:

-Why the protein RDA may be inadequate for most people and how to think about optimal intake https://t.co/179hxtbSdv",2025-10-14T14:00:42.000Z,1978098644365578266,30,28,353,8,216,97359,PeterAttiaMD
1977736267832943037,en,['1977736267832943037'],"In episode #368, I sit down with David Allison, Ph.D., a leading researcher in obesity and nutrition science, to bring clarity to one of the most debated topics in modern nutrition—protein.

https://t.co/iSe48YL9ow",2025-10-13T14:00:45.000Z,1977736267832943037,10,9,146,4,47,32832,PeterAttiaMD
1977373931150422490,en,['1977373931150422490'],"For body weight, why you switch from sugar-sweetened beverages to “diet” options may be even more important than whether you switch. Full article linked below.

https://t.co/FTCriduTUp",2025-10-12T14:00:57.000Z,1977373931150422490,4,8,100,0,38,40470,PeterAttiaMD
1975199555646832712,en,['1975199555646832712'],"In episode #367, I address the recent headlines linking acetaminophen (Tylenol) use during pregnancy to autism in children.

https://t.co/gVefUMKQz7",2025-10-06T14:00:46.000Z,1975199555646832712,16,40,210,9,98,71074,PeterAttiaMD
1974837049891917958,en,['1974837049891917958'],"Coronary artery calcium scoring has revolutionized cardiovascular prevention. But in women, it sometimes underestimates the risk. Full article linked below.

https://t.co/F35L78kbv9",2025-10-05T14:00:18.000Z,1974837049891917958,36,25,284,13,165,165804,PeterAttiaMD
1973025268752105880,en,['1973025268752105880'],"Strength Training: Perimenopause &amp; Menopause | Gabrielle Lyon, D.O. (@drgabriellelyon),  Mike Boyle (@BodybyBoyle), and Jeff Cavaliere, M.S.P.T., C.S.C.S. (@trainer2thepros) 

This clip is from episode # 365 of The Drive which was released on 9/22/25.

In the full episode, we https://t.co/sOBeURy18w",2025-09-30T14:00:55.000Z,1973025268752105880,12,7,155,2,63,30564,PeterAttiaMD
1972662855859114127,en,['1972662855859114127'],"In episode #366, I sit down with Joe Liemandt to explore how artificial intelligence and a mastery-based education model could transform K–12 learning.

https://t.co/VbZIfCclhA",2025-09-29T14:00:49.000Z,1972662855859114127,26,22,267,18,215,82633,PeterAttiaMD
1972300361714024461,en,['1972300361714024461'],"We’re preparing a detailed discussion of the claims and evidence regarding potential links between prenatal acetaminophen exposure and autism risk. Full announcement linked below.

https://t.co/0Bh0RdxvEl",2025-09-28T14:00:24.000Z,1972300361714024461,16,25,457,4,59,55567,PeterAttiaMD
1971575725107896386,en,['1971575725107896386'],"Squatting as a Religion | Gabrielle Lyon, D.O. (@drgabriellelyon), Mike Boyle (@BodybyBoyle), and Jeff Cavaliere, M.S.P.T., C.S.C.S. (@trainer2thepros)

This clip is from episode # 365 of The Drive which was released on 9/22/25.

In the full episode, we cover:

-Why so many https://t.co/uflkplckin",2025-09-26T14:00:57.000Z,1971575725107896386,42,41,363,8,216,95834,PeterAttiaMD
1971213406230204666,en,['1971213406230204666'],"Sleep is one of the most powerful levers for cognitive function, emotional stability, metabolic health, and longevity, yet most people don’t know how to improve it. This guide distills the most actionable insights from science and practice, so you can put principles into action. https://t.co/bE3Y9d7PBO",2025-09-25T14:01:14.000Z,1971213406230204666,55,28,580,5,284,56952,PeterAttiaMD
1970850975217791387,en,['1970850975217791387'],"Why Kids Shouldn’t Specialize Too Early in Sports | Gabrielle Lyon, D.O. (@drgabriellelyon), Mike Boyle (@BodybyBoyle),  and Jeff Cavaliere, M.S.P.T., C.S.C.S. (@trainer2thepros)

This clip is from episode # 365 of The Drive which was released on 9/22/25.

In the full episode, we https://t.co/eAtXmNSbtl",2025-09-24T14:01:03.000Z,1970850975217791387,42,15,399,10,174,55393,PeterAttiaMD
