id,text,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
1777346958266433985,"My 5 Favorite Chicken Marinades:

All 5 recipes are good for 2 lb of chicken

Tandoori style yogurt marinade:

1/2 cup Greek yogurt
Juice of 1 lemon
5 garlic cloves, minced
1 inch knob of ginger, grated
1 tbsp avocado oil
1 tbsp salt
1 teaspoon cayenne (or more to taste)
1… https://t.co/fpVpt2E82x https://t.co/u0NtiLkRIv",2024-04-08T14:45:11.000Z,['1777346958266433985'],126,14,1281,1,3677,176646
1777343932067659954,"HOW TO CREATE A SUPERFOOD SMOOTHIE

Smoothies are something myself and my clients take advantage of almost every single day as they are an extremely convenient way to get a ton of nutrients in

Many people have been fooled into the oat milk, plant based protein and a handful of… https://t.co/zcKQyjW3RX https://t.co/WmPTV3zIhf",2024-04-08T14:33:09.000Z,['1777343932067659954'],70,22,650,2,1768,130234
1777343253467066787,@Bitcopia definitely better than soy lecithin but still wouldn't want to have it all the time. This blends just fine IMO,2024-04-08T14:30:27.000Z,['1777343253467066787'],0,1,2,0,0,1042
1777343092288278894,@seenematik blueberries &amp; raw honey,2024-04-08T14:29:49.000Z,['1777343092288278894'],0,0,7,0,2,794
1777340797177766305,@patriciasends Easier to digest,2024-04-08T14:20:42.000Z,['1777340797177766305'],0,1,4,0,0,980
1777340767754691012,@YumYumYumAI Protein shakes,2024-04-08T14:20:35.000Z,['1777340767754691012'],0,0,2,0,0,810
1777339658814300550,Good stuff https://t.co/1v1JLR75SE,2024-04-08T14:16:10.000Z,['1777339658814300550'],21,15,368,1,241,47483
1777055984638144886,Roast some potatoes until crispy then toss in chimichurri🤤 https://t.co/n42dLNmHuo,2024-04-07T19:28:57.000Z,['1777055984638144886'],7,4,192,0,40,19658
1776957989213057176,"GM🌞

Farm fresh breakfast this morning:

-Corn/soy free eggs with gruyere and chives
-Pastured bacon
-Crispy tallow taters
-Organic sourdough
-Coffee in the pour over
-Freshly squeezed OJ https://t.co/zvglBJCf7k",2024-04-07T12:59:33.000Z,['1776957989213057176'],9,13,378,0,70,31573
1776728530056892672,Before &amp; after https://t.co/ph4ecEmdra,2024-04-06T21:47:46.000Z,['1776728530056892672'],12,10,293,2,11,30005
1776717511360237916,"Grass fed ribeye ready for the grill
Potatoes in the oven
Raw milk ice cream churning https://t.co/LpGeFqBQwq",2024-04-06T21:03:59.000Z,['1776717511360237916'],9,11,237,0,26,22951
1776651831222898801,"5k on IG😁

Twitter will always be #1 for me but it’s been fun building a new platform from scratch https://t.co/0PZ0fg3xUv",2024-04-06T16:42:59.000Z,['1776651831222898801'],4,7,169,0,5,36565
1776625602121887973,Saturday Farm trip🌞 https://t.co/RObD3VEarv,2024-04-06T14:58:46.000Z,['1776625602121887973'],8,2,179,0,8,14708
1776341847360589997,@nickbergstrom89 Will be launching youtube very soon!,2024-04-05T20:11:13.000Z,['1776341847360589997'],0,0,2,0,0,42
1776286032914256333,@bohms150 It’s fine if you feel like you digest it ok!,2024-04-05T16:29:26.000Z,['1776286032914256333'],0,0,3,0,0,157
1776276028375060761,"Just posted on IG exactly how I made these🔥

Follow me @coookwithchris to see all my videos! https://t.co/LHjcJziAiQ",2024-04-05T15:49:41.000Z,['1776276028375060761'],2,2,90,1,65,35251
1776255342650798493,"The most nutrient dense animal foods:

• organs                • wild game
• oysters               • steak
• eggs                    • shellfish
• salmon               • roe
• sardines            • goat
• lamb                    • anchovies
• bone marrow   • milk https://t.co/QNuiq52LiM",2024-04-05T14:27:29.000Z,['1776255342650798493'],18,6,196,0,101,19872
1776255075221905861,"My favorite baked salmon recipe: Mediterranean style 

Ingredients:

2 lb salmon fillet
Kosher salt
½ lemon, sliced into rounds
Parsley for garnish

For Marinade:

Zest of 1 large lemon
Juice of 2 lemons
3 tbsp extra virgin olive oil (check the Selo discount code)
5 garlic… https://t.co/08wq6QUQaf https://t.co/lhbgLxsSNM",2024-04-05T14:26:25.000Z,['1776255075221905861'],20,6,229,1,345,34150
1776252236416332156,"RT @TheWarKitchen: You need a salt cellar. Sea salt needs to sit in a beautiful receptacle. It needs to be available, 24/7. Real sea salt,…",2024-04-05T14:15:08.000Z,['1776252236416332156'],10,0,0,0,0,1
1776024681121730684,"RT @DrDomMazza: If you feel like you're dragging along, keep reading!

Unveiling the Power of Rhodiola: Nature's Secret Weapon for Optimal…",2024-04-04T23:10:55.000Z,['1776024681121730684'],6,0,0,0,0,0
1775889809216532517,"Jen was another one with mysterious gut issues and the doctors said everything was normal

After saying she “had no hope”, we managed to completely resolve her gut issues

“Feeling great”
“Extremely easy to follow”
“Absolutely delicious”
“Couldn’t be happier with my results” https://t.co/8UeuVZEgnZ",2024-04-04T14:14:59.000Z,['1775889809216532517'],1,1,3,0,3,4219
